user_id,candidate,ground_truth
1,256 1306 333 1486 1142 518 1247 2 924 933 1330 639 298 947 984 364 231 407 597 367,256
2,316 883 107 1295 63 1175 1085 145 1636 438 1617 428 60 1491 507 1650 1642 1349 855 983,316
3,181 741 1080 63 1235 228 1134 421 442 251 514 1256 67 239 1622 281 1147 769 178 1216,181
4,11 963 1586 588 926 1202 380 1514 683 1100 934 1108 1656 1652 954 837 1433 151 1570 1552,11
5,24 1211 942 1400 1261 67 1611 737 1311 560 764 523 1173 1146 1287 698 369 632 661 798,24
6,272 205 1277 369 1500 699 1252 697 1290 1442 372 2 853 1630 1412 1257 1341 1239 1269 1304,272
7,357 472 1303 1060 978 1327 779 903 1479 74 1309 1449 1110 1682 105 696 698 694 712 440,357
8,227 1335 949 1214 1606 340 565 1085 25 215 1233 929 432 321 383 1434 524 1538 683 567,227
9,483 1417 287 1516 1308 675 1539 765 318 829 485 1259 1559 944 1643 390 162 1065 323 510,483
10,340 1538 1026 814 1612 1552 1510 1374 1310 607 30 891 1655 1631 1226 900 925 1228 1142 836,340
11,51 594 155 347 697 1588 1125 1016 1350 961 1357 1352 941 765 764 275 1682 1374 570 1320,51
12,238 356 570 265 729 517 1561 340 1062 1382 415 1479 1100 1331 169 240 416 580 765 1672,238
13,916 1527 189 20 1466 367 1676 1481 1489 958 869 659 1659 760 1513 781 571 1580 162 1607,916
14,269 888 1216 1273 962 1540 1662 646 1226 608 1440 721 452 632 1015 1356 1383 1420 128 803,269
15,934 52 1584 1128 1558 1495 1235 994 1172 329 1466 1480 1329 212 1389 834 852 749 891 105,934
16,152 250 699 249 274 1191 992 1123 1230 869 256 619 308 801 1585 862 1670 1179 80 340,152
17,151 1128 1442 954 641 238 717 539 543 263 1393 1013 4 1487 1291 1557 660 620 1343 535,151
18,59 135 35 1540 24 1644 782 780 1516 1063 110 450 1668 927 1291 838 1402 888 1497 363,59
19,211 286 322 1266 1681 491 553 60 1361 1032 987 974 388 422 496 1265 1630 229 860 1500,211
20,87 592 314 255 1424 584 570 503 123 877 1107 1155 286 788 1351 1306 1463 460 441 97,87
21,675 1103 277 703 1052 638 845 18 114 653 306 54 456 764 335 587 628 1677 1342 37,675
22,250 307 178 334 1489 23 497 364 1068 1633 1340 1272 354 242 1197 121 475 1615 1423 1212,250
23,694 369 1468 280 158 1678 744 486 1391 835 309 729 1272 1561 937 1106 583 400 758 1226,694
24,655 442 1323 495 675 1159 487 679 694 1666 1364 361 1216 1015 808 946 82 1353 404 1422,655
25,204 315 282 1370 438 1607 109 755 681 1406 322 1224 1504 1169 465 1042 1105 913 1023 1317,204
26,1012 1322 249 833 1621 678 946 274 255 736 373 1650 242 1309 1348 1218 713 222 1235 41,1012
27,370 1329 20 543 167 1503 646 1417 1508 1574 1368 603 658 285 11 937 1067 150 1493 1165,370
28,223 473 1275 99 742 1389 307 1140 1512 1112 773 1403 1341 1385 732 1177 560 438 1317 1565,223
29,180 252 258 968 1475 398 1226 109 1540 1090 653 1659 1339 213 310 1457 456 673 392 1557,180
30,538 1080 916 395 840 1022 263 606 1595 1578 1657 408 365 416 1232 1336 1351 125 923 81,538
31,611 1487 274 1331 660 305 247 212 884 1564 1041 1241 907 999 1053 266 1658 657 625 341,611
32,628 779 565 120 1406 1242 1100 1195 190 746 646 514 917 919 604 1168 1424 491 341 928,628
33,348 1647 518 1389 422 1406 342 588 82 567 540 81 1653 1332 446 628 866 289 66 640,348
34,899 204 561 629 1310 1631 672 736 929 225 1594 1345 1031 1074 1104 334 1005 761 881 184,899
35,937 257 877 1393 688 1071 1216 1169 1674 233 1392 601 848 1154 1194 742 384 745 939 464,937
36,261 1657 722 1400 18 1069 818 200 859 1211 298 1416 97 811 1456 674 1268 1607 779 1348,261
37,172 927 1277 1414 936 1046 1086 460 103 1158 543 515 1105 19 120 979 1559 1381 1213 93,172
38,452 255 525 165 1171 584 739 1029 1046 106 782 1025 1547 1457 310 890 565 305 888 582,452
39,288 405 857 1127 945 187 826 1523 1106 406 778 1202 1025 873 555 1197 1086 497 1569 1147,288
40,754 1048 504 792 551 828 416 875 978 1404 1111 1358 83 838 1417 391 1444 1550 936 346,754
41,430 1312 819 894 4 402 77 1150 1153 263 133 692 675 104 389 1235 660 1463 1084 442,430
42,845 1217 714 787 1081 675 1345 657 1188 277 1265 687 876 1359 1498 1406 805 1331 708 333,845
43,316 1029 476 1036 767 615 1162 1544 1538 832 1095 1419 221 867 207 1118 855 450 365 873,316
44,183 1656 1313 162 564 1425 959 1343 517 1248 192 1540 369 1147 322 125 306 1322 749 26,183
45,820 264 8 1165 365 238 1224 450 799 931 392 909 459 107 1015 520 1095 1026 1678 737,820
46,125 710 52 449 759 773 1666 11 456 27 911 1346 222 708 275 1662 1260 1530 662 770,125
47,327 1137 914 1240 581 778 251 541 320 1235 830 568 879 472 1072 114 208 370 1125 1458,327
48,302 954 863 1402 1457 1628 741 290 1280 1221 920 366 1147 1548 860 36 1560 1056 1251 74,302
49,518 1014 1189 1166 1323 145 327 280 662 405 665 1631 1437 574 821 690 163 284 1193 542,518
50,123 283 729 995 171 1343 1006 1551 902 1009 1574 1297 1618 159 6 487 182 966 1199 1426,123
51,83 251 1576 487 76 760 876 1503 1474 622 1376 1 1658 100 1001 1107 9 990 84 951,83
52,191 193 1212 1402 305 27 436 1040 1565 869 1044 1136 1288 320 1026 255 190 543 1596 104,191
53,1087 535 1665 444 907 359 875 1327 7 814 144 841 123 620 1286 1167 1056 1289 395 378,1087
54,298 1655 199 840 227 556 1122 1314 232 480 502 1264 920 476 873 1278 802 373 1402 1184,298
55,79 1546 604 1271 1622 1227 628 24 1448 68 1600 489 523 290 341 1298 1612 986 955 918,79
56,410 770 370 615 450 1399 1123 1608 1458 1428 701 1057 324 224 677 278 418 1242 553 246,410
57,199 501 1641 1197 1503 733 87 1317 362 1515 1337 1146 885 858 330 1056 697 339 1286 1542,199
58,191 501 1526 1125 1583 679 582 185 402 41 2 515 1586 1348 764 424 907 1630 108 27,191
59,323 1564 353 1442 1226 153 717 1586 782 1336 384 587 20 1526 598 540 1233 1258 395 1334,323
60,272 338 1264 564 1043 418 630 1157 920 422 530 316 693 1177 1591 569 1538 74 797 726,272
61,347 131 683 1139 857 59 610 1545 1651 1249 1401 696 182 407 1564 786 1117 1157 662 266,347
62,1130 390 1020 244 850 402 1031 337 777 782 709 18 602 667 431 459 290 526 906 1281,1130
63,300 540 1671 238 775 1370 1555 70 826 406 1308 1467 518 1041 1404 1213 578 294 668 305,300
64,651 38 792 316 1467 1655 217 1461 1408 1523 41 497 522 681 290 898 1399 419 77 1125,651
65,185 70 297 461 716 1340 1618 93 1364 1267 650 1390 74 1633 1526 95 627 1086 872 994,185
66,249 1493 700 483 1192 42 1186 1335 580 879 1344 1441 1217 1244 349 27 102 1472 90 776,249
67,117 1107 1646 366 141 411 12 1018 1061 528 671 1025 1594 1559 949 1215 898 681 932 1194,117
68,178 611 1234 953 1170 202 252 1682 418 340 584 1547 1076 1590 355 577 1087 1676 1319 745,178
69,12 186 128 1629 1275 1094 194 615 1528 43 1633 1663 1512 1615 575 1256 1653 1437 426 1645,12
70,408 1609 589 1485 1344 1088 1605 1458 626 809 136 100 978 440 900 281 768 1185 456 1504,408
71,197 1491 1517 917 1235 1575 1133 1404 1535 625 1285 189 1452 1552 749 490 1153 1145 1050 747,197
72,198 736 1550 1341 189 1667 1399 155 1001 1375 1299 247 1518 488 378 1310 793 929 361 1665,198
73,285 960 654 10 14 1049 1445 299 631 1155 1558 1403 1410 1105 609 1321 648 1297 863 1135,285
74,508 1625 1216 983 1607 727 1118 650 511 478 1330 355 1590 54 1294 946 1204 439 1011 780,508
75,196 1426 1632 695 805 21 1133 1168 1031 1359 16 249 595 774 865 335 547 1640 239 452,196
76,955 487 1100 706 42 846 1316 649 690 693 1422 1437 437 702 1150 578 947 112 1510 1184,955
77,52 580 529 1279 1506 120 606 352 1473 1282 75 1607 162 578 1353 1364 819 1491 1536 940,52
78,237 706 77 1003 628 1221 154 1257 21 1092 1678 1557 1263 988 1272 683 1274 57 1069 203,237
79,7 752 1103 797 1047 841 1261 938 1101 1324 504 1425 1376 1478 1248 61 46 1119 1195 831,7
80,237 591 181 851 125 1262 163 958 1477 796 523 1304 68 184 1451 176 46 134 183 260,237
81,3 256 487 1283 372 470 597 598 454 1441 676 950 59 1271 763 1516 666 797 1491 246,3
82,310 1288 423 1315 941 1238 232 757 1362 1536 854 570 681 1281 466 1296 1470 833 1202 1081,310
83,298 965 1354 1553 290 1525 1469 622 627 1514 1456 1499 1308 1549 648 1030 250 970 995 176,298
84,385 601 628 728 458 1506 359 1217 202 1195 811 736 186 487 610 24 1054 1410 526 1108,385
85,182 1397 1227 1412 836 356 81 787 1502 1291 84 1051 1241 1145 881 1094 1447 1002 823 1617,182
86,683 669 832 840 847 31 234 1152 336 775 524 373 1174 968 821 1312 63 437 2 1236,683
87,1189 888 729 892 307 607 1267 544 522 1010 1612 29 1192 1022 1364 1672 935 1486 1663 1279,1189
88,326 1642 921 842 1389 522 1132 529 1681 1359 1460 639 1552 449 1307 89 476 897 814 891,326
89,187 1240 892 1574 848 202 608 1534 133 219 1597 1516 239 1678 918 1311 1644 1053 572 967,187
90,385 393 794 451 1365 1607 1448 1324 826 1077 1152 1206 767 250 946 469 1129 416 902 1524,385
91,230 369 1187 1252 446 995 1284 697 1309 965 254 1416 1330 7 962 1438 887 933 233 1102,230
92,307 997 534 495 1620 6 1621 826 1663 596 1375 916 1280 803 720 677 1051 498 1404 1150,307
93,235 1248 731 1031 875 288 939 624 494 1383 1299 24 1227 41 1265 558 1154 491 302 616,235
94,690 1349 342 1047 1307 477 1661 541 1175 1450 913 567 1411 1266 1085 531 656 391 139 1179,690
95,445 681 732 1138 1088 189 1308 1034 1256 1156 443 949 1290 764 217 1668 658 593 614 1140,445
96,1232 189 1624 1471 461 1180 915 779 191 623 970 997 543 18 1396 765 955 1633 1247 379,1232
97,434 1121 851 500 1070 1231 67 1111 907 273 552 1043 1186 507 853 1626 1295 375 176 173,434
98,25 162 855 880 861 18 391 1653 796 1404 1637 788 1009 966 784 1084 1361 1059 636 525,25
99,433 816 1309 1401 658 625 106 1569 1052 1590 1328 501 420 1012 1340 536 1076 1369 690 1519,433
100,272 849 71 401 1285 408 46 651 955 869 653 278 1123 1209 255 935 1049 920 989 1543,272
101,866 1200 1329 1640 109 1440 439 103 1199 926 688 873 386 877 990 897 140 483 1592 1035,866
102,202 448 316 25 943 65 796 438 1364 921 888 1479 252 646 1190 15 1199 1338 912 980,202
103,96 1550 854 1385 1592 1199 1375 139 698 1185 493 104 918 589 304 1208 1180 885 324 647,96
104,50 810 215 824 1317 22 654 950 1140 527 1037 413 695 697 1337 436 111 453 281 1024,50
105,327 767 986 1539 553 507 1355 1394 855 584 555 535 571 1511 557 825 731 274 389 1519,327
106,313 639 181 383 1259 654 813 1146 1496 183 624 208 274 1027 71 1389 278 715 1273 1538,313
107,312 1221 1318 1021 913 43 865 833 133 1019 201 193 885 64 495 517 403 335 551 228,312
108,290 740 328 327 773 492 945 1046 1123 1518 167 1207 1136 1200 840 782 77 38 1662 522,290
109,1157 1462 109 492 1182 367 663 906 101 1202 477 1241 1505 1148 841 587 81 540 1079 1276,1157
110,94 1373 1012 664 821 1038 885 1290 39 1432 365 509 795 1142 459 1388 618 603 784 922,94
111,286 889 78 1656 1334 713 569 467 412 1194 1122 332 397 149 8 1519 1133 360 1259 1261,286
112,339 1493 1225 1114 1392 1375 954 1444 1172 513 1432 131 538 1480 867 1595 274 537 1649 1622,339
113,975 1249 195 886 934 928 292 157 300 1362 148 673 321 1104 1195 59 1515 1031 265 1468,975
114,522 1208 688 690 1248 643 456 785 403 810 772 1183 971 794 1378 498 1170 378 50 1462,522
115,178 333 612 200 1441 810 573 846 1223 1621 343 1271 91 162 120 1193 420 49 942 834,178
116,344 161 1350 1427 711 140 978 430 523 1340 1660 1133 1184 559 501 169 1520 1196 1535 301,344
117,298 1101 127 113 1391 197 1031 1429 891 1520 322 1654 1282 1302 198 725 1181 452 1084 158,298
118,1079 1300 1592 431 429 328 975 1010 101 1299 956 636 953 1575 730 1595 703 389 1619 1357,1079
119,917 290 1299 720 983 1220 850 686 1492 1565 1060 527 1525 1252 945 976 992 1121 337 1647,917
120,405 319 510 953 1052 915 1637 1674 262 459 828 906 453 882 102 402 1500 1039 1444 811,405
121,717 1528 825 180 997 798 1610 146 194 78 795 984 1285 420 573 890 847 617 1113 789,717
122,1044 485 1202 1117 801 751 887 769 779 1049 355 350 521 1000 1046 1281 1173 1011 448 1381,1044
123,276 1289 1057 191 1395 1476 800 401 94 351 534 735 566 492 1526 747 265 761 969 922,276
124,195 1623 119 833 1309 834 1359 1311 1508 1253 206 888 81 1524 840 953 487 177 589 1501,195
125,158 639 620 131 398 823 309 313 112 1585 875 1391 1025 18 70 1040 397 350 536 1497,158
126,881 431 1682 56 691 19 1044 1608 1250 1391 638 734 1209 1234 869 219 155 640 221 1604,881
127,62 817 627 69 693 1576 1036 1480 776 1052 1461 592 844 679 603 542 1654 1020 1081 1227,62
128,88 913 1269 72 682 1676 878 1637 989 134 1124 1425 1496 1216 571 477 934 1583 12 558,88
129,906 448 696 1668 424 1385 1679 794 1267 328 403 825 113 1413 246 575 439 698 1195 158,906
130,669 1420 9 931 885 1452 992 230 16 1380 783 459 1017 1194 963 1228 580 1255 287 436,669
131,536 964 563 1034 1258 504 1625 1320 907 616 1540 410 347 1509 32 1369 1172 535 315 1377,536
132,664 1200 446 1103 895 120 651 947 164 1034 1096 1294 852 1353 1648 1168 325 451 590 1545,664
133,316 1487 1054 811 289 261 1272 1333 159 850 1505 1265 1091 1106 1569 820 286 277 1321 1216,316
134,1 206 243 593 1608 1542 152 996 1283 1368 198 1207 466 1403 188 1600 775 1612 1560 83,1
135,77 402 18 1447 1494 247 1417 1254 394 1036 273 1339 81 486 376 1228 730 33 1475 648,77
136,525 1474 636 1405 1496 248 1286 989 556 1401 1100 933 867 456 460 1126 741 750 967 815,525
137,261 1177 939 1419 1382 1482 1615 1361 1265 1073 551 1485 85 1221 661 684 1136 449 961 741,261
138,602 511 1034 857 747 200 984 1387 123 1028 850 1361 542 1062 1212 1495 456 473 109 541,602
139,127 1420 29 1293 966 854 230 521 935 88 1078 1323 1403 789 317 1457 497 940 23 1521,127
140,880 41 1425 817 1342 1553 107 703 1173 885 372 167 1139 1005 1254 1076 877 127 1194 68,880
141,300 1517 904 1161 998 166 1612 704 308 1440 512 1092 1374 343 297 443 139 2 667 873,300
142,42 641 115 1322 214 802 1618 1264 539 751 996 1525 121 1072 1624 1230 763 292 361 1271,42
143,325 1656 676 501 1514 750 668 498 729 444 248 938 1048 808 1536 1616 1279 1666 340 819,325
144,480 1550 1569 1500 74 343 1072 1346 17 585 1448 1342 806 154 652 1005 407 1676 325 1478,480
145,354 1134 450 155 1349 759 1533 217 1517 415 1422 1248 656 580 598 557 1183 1664 70 221,354
146,336 1062 133 1360 882 301 1427 1305 972 810 115 986 225 1616 1319 1058 1209 534 1061 906,336
147,301 1297 1125 1661 1054 1260 841 691 1301 677 1123 87 859 1585 577 275 1649 1383 95 1664,301
148,993 988 1350 666 632 1450 1342 968 1495 1366 1038 371 1309 460 1387 1168 747 1514 1080 211,993
149,340 930 30 1296 557 248 263 668 526 47 1330 933 121 733 454 67 469 847 1345 912,340
150,410 932 1294 267 242 78 247 1197 1533 1112 125 1081 1223 620 212 327 1638 355 298 900,410
151,966 998 982 1259 1048 442 1455 544 1255 1122 768 649 818 447 923 1082 1301 376 1153 920,966
152,272 592 654 318 285 319 211 480 635 546 658 1228 1366 644 1252 1178 489 1374 815 1389,272
153,258 969 642 338 143 689 1583 780 825 1591 237 482 204 1296 1500 1033 1152 1659 514 164,258
154,187 1011 55 29 1043 1314 520 217 835 17 231 644 768 385 672 1396 977 1021 1326 1584,187
155,306 871 812 1448 294 1471 1365 1033 301 1554 1680 1444 515 240 526 659 696 1618 1624 315,306
156,510 875 1073 329 1391 1429 1449 214 1471 231 1173 172 814 1463 729 924 1302 685 293 702,510
157,407 563 1498 919 1259 359 1106 154 248 983 1004 1005 711 812 701 830 685 546 596 707,407
158,290 1079 401 1377 702 846 132 1196 253 531 1475 1124 390 1621 170 338 78 46 777 1143,290
159,259 1407 351 1568 1485 1039 781 365 1059 899 1678 1469 782 1141 765 284 124 263 1058 215,259
160,302 274 1539 382 769 615 366 216 217 1560 469 639 1025 1024 951 1058 795 584 1184 1107,302
161,69 922 447 1123 1467 127 545 812 805 1173 71 1232 293 549 730 1149 1499 1059 1248 247,69
162,710 538 127 797 636 302 1186 236 21 467 268 1345 663 1503 552 1157 987 1066 384 62,710
163,98 1546 351 555 188 734 1143 1185 90 1460 837 1408 85 443 300 119 377 1553 1448 913,98
164,934 844 1553 1376 32 645 1253 1264 762 1679 1577 1308 1344 1445 1204 649 898 1443 1359 1587,934
165,432 1551 1041 992 86 1504 38 944 1248 710 628 108 343 1099 1658 941 1610 3 1630 974,432
166,894 1004 1592 1136 706 391 1392 1323 202 1467 594 1681 411 110 1499 1339 89 1373 1035 794,894
167,530 327 306 1633 1324 1677 518 625 407 1591 393 305 1093 1405 1641 422 317 1481 891 264,530
168,225 322 353 1623 1189 327 671 263 1577 407 129 1033 338 1288 69 1486 12 549 1626 964,225
169,443 1189 1015 1642 1666 812 1409 420 380 547 1024 305 269 1575 83 1003 943 1568 70 638,443
170,749 991 768 1672 1592 1020 627 1426 1076 1325 1352 837 1545 420 429 1681 705 291 277 198,749
171,272 221 1217 1449 854 897 441 1167 439 112 1537 628 1647 914 1038 535 764 1260 1630 478,272
172,582 266 1327 886 395 1441 731 796 317 1666 223 26 1211 594 419 1479 1568 652 1017 812,582
173,292 82 1596 1082 1663 531 566 1205 664 710 672 479 5 235 511 599 991 624 516 549,292
174,238 30 815 1559 640 1666 621 663 1554 1590 1299 1681 635 1103 1490 171 1019 802 531 631,238
175,88 651 1059 10 309 1598 356 1576 913 404 515 1145 1322 446 951 868 442 402 284 1204,88
176,458 382 360 578 214 617 968 863 431 1677 554 1631 1246 958 953 1681 386 1595 1519 733,458
177,92 1023 755 1208 672 684 617 76 734 335 1637 1425 1386 208 787 1073 191 120 869 1415,92
178,342 1394 648 790 793 61 1531 1664 871 1623 1653 390 1348 1672 1299 925 487 356 1342 694,342
179,301 445 1150 191 450 551 1059 1383 1264 1080 77 749 826 192 1291 691 278 750 1010 1071,301
180,98 1024 1257 1641 696 855 608 485 666 139 84 1394 991 951 1596 925 1170 1025 584 971,98
181,974 1608 392 546 1005 859 316 151 497 460 1443 1130 133 1473 56 440 988 607 635 655,974
182,111 1585 392 1449 147 635 364 680 1058 1504 1486 1424 110 20 157 787 11 319 59 25,111
183,222 246 1198 71 76 402 28 518 1532 1118 803 1454 1294 206 1615 1384 1219 1453 502 1581,222
184,488 263 458 1227 1652 1373 559 479 897 1025 1521 982 1190 639 557 1512 133 877 1316 481,488
185,287 364 1298 774 1418 927 90 1379 815 465 1144 218 229 1122 714 1661 1068 179 803 1603,287
186,98 1509 1504 1008 1335 1455 973 1148 422 1474 1304 1375 277 977 181 216 1594 1174 1062 1303,98
187,462 1038 887 1329 1120 848 1486 1553 1446 276 1286 1627 126 646 1111 1083 1093 1030 1254 942,462
188,455 1329 741 969 297 272 494 939 310 413 1030 1096 70 1276 110 648 933 1019 554 613,455
189,150 736 1288 595 65 1164 929 1638 1007 1025 1364 426 1054 1329 34 535 476 1555 338 1465,150
190,405 12 1091 1049 1313 723 281 488 727 713 1015 568 1665 805 1268 1047 1475 427 113 1328,405
191,86 1631 502 188 215 1023 833 1352 252 583 708 1647 861 1085 848 1202 615 945 683 15,86
192,1061 193 1305 669 1166 622 1364 55 178 958 972 51 977 1114 1423 809 332 165 1117 387,1061
193,366 104 510 1439 1352 112 1163 470 1273 822 1534 1289 1225 243 743 1431 404 540 263 875,366
194,737 42 229 634 1290 1367 35 395 1202 1650 1656 548 284 1445 1274 681 166 424 231 1193,737
195,421 604 1646 1378 667 729 503 164 317 1340 1291 498 1489 595 1636 1184 777 961 1583 187,421
196,1118 1513 864 1129 239 142 1318 1140 920 1185 1378 1 1298 1646 1442 1643 662 135 854 627,1118
197,554 1564 452 842 1347 1041 603 986 1223 1624 1448 468 367 1410 1248 537 1340 374 1589 1454,554
198,942 747 234 1025 1175 1675 1056 605 1190 178 980 246 1525 1221 1632 1467 1256 304 1064 241,942
199,14 1418 1501 474 1068 1253 1184 895 830 383 701 647 470 1629 1061 140 1561 448 928 924,14
200,831 65 783 606 1436 1502 38 497 1329 1651 794 828 1076 988 436 1002 277 137 45 1440,831
201,227 1310 540 389 688 1391 135 554 37 1055 460 908 919 1223 1123 803 1405 1145 1050 865,227
202,484 1509 981 850 1228 384 1548 988 1007 583 1671 1628 1343 137 196 1018 1670 1528 767 777,484
203,93 620 1250 612 1482 555 1189 1374 1012 1343 715 1057 495 1547 1580 666 115 1665 964 315,93
204,297 250 633 1153 953 69 1645 725 1511 753 1119 271 1436 915 1280 1023 1298 1040 921 1203,297
205,748 882 1262 297 173 17 83 462 741 887 212 84 374 1471 1119 1071 347 85 361 1529,748
206,302 1402 777 352 894 1616 536 769 1387 182 1011 188 943 961 159 1168 74 1253 1364 1379,302
207,302 1155 769 890 1169 596 1485 1612 588 1469 614 151 27 1122 1194 1094 810 105 271 502,302
208,739 1410 1179 925 1445 1166 963 1033 1586 1261 43 1608 288 1372 881 13 25 1201 1025 1309,739
209,242 110 869 1041 1027 1649 1681 496 654 1468 156 88 635 1312 1450 575 369 253 1490 168,242
210,94 1565 489 497 888 668 1054 1590 75 1412 619 1477 1536 592 477 1660 1531 642 485 931,94
211,117 1221 194 704 1291 924 1385 846 929 725 1356 1119 1082 172 509 847 587 1224 394 272,117
212,511 201 1423 1184 530 996 180 1297 868 81 539 1368 1524 600 1033 467 667 918 1017 872,511
213,31 1021 1102 1367 364 166 1626 1647 1613 499 320 1424 1062 1273 607 1584 1353 224 1600 1174,31
214,98 800 948 1355 1146 1205 615 385 653 662 1606 797 1387 1628 913 1019 197 540 309 1062,98
215,226 1131 1202 925 1221 607 347 279 588 615 123 414 724 946 236 1547 108 1625 439 1140,226
216,216 48 224 1167 77 1404 1594 1165 472 1098 539 992 1065 1425 1448 1413 876 1014 1223 881,216
217,391 1672 950 938 976 1598 382 1588 557 1425 681 275 347 1266 1075 1405 676 1137 822 257,391
218,203 700 1142 375 962 877 1302 1015 238 612 38 1672 1086 1416 255 1495 267 425 496 904,203
219,906 674 1671 622 1122 798 1009 1238 854 280 697 967 876 873 1218 8 1511 590 1125 1171,906
220,298 285 199 654 550 544 437 208 1525 17 1357 325 1237 293 172 1106 1108 107 1026 1669,298
221,751 1463 958 311 276 682 31 1241 1249 556 946 540 1043 548 908 1443 800 317 352 901,751
222,1226 563 479 1354 1336 1151 858 291 158 375 25 148 736 894 532 1469 749 1582 1406 554,1226
223,155 1181 878 447 130 165 112 172 1190 1115 1523 689 889 585 562 520 917 1427 628 1579,155
224,239 1593 483 695 1554 795 891 1566 785 116 1172 1600 1603 236 1097 914 874 1306 1139 1345,239
225,604 1187 866 238 1257 1160 744 13 1473 424 1514 1537 80 556 685 364 772 11 68 390,604
226,250 1172 1388 716 846 68 903 651 669 737 681 1428 1446 189 1176 1481 43 645 392 127,250
227,1008 456 815 71 904 1018 750 1060 249 936 1094 799 1460 1177 273 1658 1142 425 316 1020,1008
228,812 1 29 1121 472 212 1219 1239 384 1210 387 100 193 934 1624 511 299 1662 205 1059,812
229,882 1419 413 404 1427 388 624 8 839 1118 1542 293 588 159 1665 1122 700 209 1221 1619,882
230,100 289 571 1027 1026 1664 583 473 1565 915 964 1480 593 184 792 800 1449 346 312 847,100
231,846 56 277 1257 73 834 1073 943 1010 1315 1419 1051 1039 1155 791 590 740 1248 527 347,846
232,4 626 849 1581 1070 935 651 879 1106 371 236 835 1278 1415 437 221 1063 1164 876 799,4
233,313 1162 252 582 1169 1068 1599 207 1563 920 561 1141 235 1621 1090 460 1070 51 1367 1026,313
234,152 1162 652 1341 49 450 1060 1006 386 1222 167 832 1011 1098 1147 1295 754 144 205 1093,152
235,52 338 1648 860 1252 1484 582 283 1507 136 508 1369 1623 578 764 592 660 439 656 1328,52
236,79 1077 1502 1035 833 1408 1046 355 1587 813 1384 1503 167 1042 115 24 342 1017 1150 1025,79
